family,rank,name,objective,chi2,max_abs_z,log10_error,complexity,post_selection_penalty,certified_first_principles,post_selected,ratio_predicted_to_target,alpha_U_inv_value,M_U_GeV,M_I_GeV
vacuum_instanton,26,auto vacuum ansatz: rho/M_Pl^4 = (8*pi)^6 * exp(-(385/4)*pi),2.5961443743624484,,,0.025836305485510837,6.539372617010591,2.37412689036662,False,True,1.0612954577341667,,,
vacuum_instanton,27,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^1*(8*pi) * exp(-(92)*pi),2.5962264039783336,,,0.07755362509493721,4.818196283892546,2.37412689036662,False,True,0.8364623060713995,,,
vacuum_instanton,28,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^4/(8*pi) * exp(-(277/3)*pi),2.597563973832986,,,0.03519587034807411,6.274707103943062,2.37412689036662,False,True,0.9221554337432909,,,
vacuum_instanton,29,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^4*(8*pi) * exp(-(283/3)*pi),2.5992062127975237,,,0.036531141340382677,6.284939369684035,2.37412689036662,False,True,1.0877551329540025,,,
vacuum_instanton,30,auto vacuum ansatz: rho/M_Pl^4 = (2*pi)^4 * exp(-(185/2)*pi),2.600917512264277,,,0.06647205229156908,5.3439523202029315,2.37412689036662,False,True,0.8580803321115485,,,
symbolic_regression_quarantine,1,symbolic expression for alpha0_inv: (12)^2,2.827131339105894,1.0997121873638226e+17,331619086.80952346,0.02152782136076521,3.140087943628218,2.68,False,True,,,,
symbolic_regression_quarantine,2,symbolic expression for alpha_em_inv_mz: (11)^2,2.8288667295759926,750389.0625000014,866.2500000000008,0.024187029570223405,3.116992500144231,2.68,False,True,,,,
symbolic_regression_quarantine,3,symbolic expression for alpha0_inv: (4*pi)^2,2.8295850573097083,9.883835746563862e+17,994174820.9728439,0.06158505730970796,2.2,2.68,False,True,,,,
symbolic_regression_quarantine,4,symbolic expression for alpha_em_inv_mz: 126,2.830511332263288,58201.562500000415,241.25000000000085,0.006601854769110582,3.5977369373544335,2.68,False,True,,,,
symbolic_regression_quarantine,5,symbolic expression for alpha_em_inv_mz: (12)^2,2.856993609953705,4035076.5624999963,2008.749999999999,0.051390092208576175,3.140087943628218,2.68,False,True,,,,
symbolic_regression_quarantine,6,symbolic expression for alpha0_inv: (11)^2,2.858729000423804,5.831139900334353e+17,763619008.4285718,0.05404930041803439,3.116992500144231,2.68,False,True,,,,
symbolic_regression_quarantine,7,symbolic expression for alpha_em_inv_mz: (4*pi)^2,2.8594473281575192,14047195.182828907,3747.958802178715,0.09144732815751895,2.2,2.68,False,True,,,,
symbolic_regression_quarantine,8,symbolic expression for alpha0_inv: 126,2.860373603111099,2.761752331853625e+17,525523770.33333373,0.03646412561692154,3.5977369373544335,2.68,False,True,,,,
symbolic_regression_quarantine,9,symbolic expression for alpha_em_inv_mz: (8*pi*5),2.8684422358703467,80251.37255615504,283.28673205103524,0.00776253586457723,4.51699250014423,2.68,False,True,,,,
symbolic_regression_quarantine,10,symbolic expression for alpha0_inv: (4*pi*11),2.8684475784516064,3233154805735813.0,56860837.188136905,0.003767878445836801,4.616992500144231,2.68,False,True,,,,
